Name of State Road Transport Undertaking (SRTU),State,gis_id,Average Fleet Held (Number) 2009-10,Average Fleet Held (Number) 2010-11,Average Fleet Held (Number) 2011-12,Average Fleet Held (Number) 2012-13,Average Fleet Held (Number) 2013-14,Average Age of Fleet (Years) 2009-10,Average Age of Fleet (Years) 2010-11,Average Age of Fleet (Years) 2011-12,Average Age of Fleet (Years) 2012-13,Average Age of Fleet (Years) 2013-14,Staff Strength (Number) 2009-10,Staff Strength (Number) 2010-11,Staff Strength (Number) 2011-12,Staff Strength (Number) 2012-13,Staff Strength (Number) 2013-14,Fuel Efficiency (Km/litre of HSD) 2009-10,Fuel Efficiency (Km/litre of HSD) 2010-11,Fuel Efficiency (Km/litre of HSD) 2011-12,Fuel Efficiency (Km/litre of HSD) 2012-13,Fuel Efficiency (Km/litre of HSD) 2013-14,Passenger Kms Performed (Lakhs) 2009-10,Passenger Kms Performed (Lakhs) 2010-11,Passenger Kms Performed (Lakhs) 2011-12,Passenger Kms Performed (Lakhs) 2012-13,Passenger Kms Performed (Lakhs) 2013-14,Passenger Carried (Lakhs) 2009-10,Passenger Carried (Lakhs) 2010-11,Passenger Carried (Lakhs) 2011-12,Passenger Carried (Lakhs) 2012-13,Passenger Carried (Lakhs) 2013-14
Gujarat SRTC,Gujrat,12,7643,7692,7663,7719,7852,6.9,N.A.,4.1,N.A.,N.A.,40073,40670,41863,40370,40070,5.6,5.5,5.5,5.5,5.5,330395,325907,351240,351521,336104.2,8483,8053,8559,8411,8050
Haryana ST,Haryana,13,3203,3249,3755,3755,3816,N.A.,N.A.,7,3.1,3.1,17452,16536,16610,18974,18634,4.8,4.8,4.8,4.8,4.7,143689,134796,139868,164849,152849,4053,4183,4028,4527,4466
Himachal RTC,Himachal Pradesh,14,2026,1979,2024,2076,2162,N.A.,N.A.,N.A.,N.A.,N.A.,9246,N.A.,8492,8419,8777,3.7,N.A.,3.6,3.6,3.6,N.A.,72840,71619,72111,74418.5,N.A.,39044,40413,N.A.,N.A.
J&K SRTC,Jammu & Kashmir,15,N.A.,N.A.,710,704,694,N.A.,N.A.,9.4,9,10.3,N.A.,N.A.,2193,2207,2235,N.A.,N.A.,4.2,4.2,4.3,N.A.,N.A.,N.A.,6929,6435.9,N.A.,N.A.,57,51,52
Kadamba TC Ltd.,Goa,11,397,N.A.,412,425,547,6.3,N.A.,6.8,6.5,4.5,1924,N.A.,1889,1861,2013,4.5,N.A.,4.4,4.5,4.3,N.A.,N.A.,1150,7902,7782,287,N.A.,306,301,317
Karnataka SRTC,Karnataka,17,7002,7164,7621,7831,8255,3.2,3.2,3.4,3.6,3.8,31995,34019,36448,36249,38776,4.8,4.9,4.9,4.8,4.8,304596,329638,351240,368679,354624.8,8634,8476,8867,9391,9565
Kerala SRTC,Kerala,18,N.A.,5573,5742,5847,5830,N.A.,5.9,6.5,6.5,6.7,N.A.,38915,39911,39712,42240,N.A.,4.3,4.2,4.3,4.2,N.A.,6331,6558,N.A.,N.A.,N.A.,N.A.,12579,12156,11634
Maharashtra SRTC,Maharashtra,21,15955,16212,16801,17497,18055,4.1,4,4,3.1,3.9,101138,103565,104566,100052,107885,5,4.9,4.9,4.9,4.8,533655,543987,556295,536151,528386,23799,25380,26004,26064,25630
Meghalaya STC,Meghalaya,23,62,50,50,52,65,8,8,9,9,8,344,324,307,288,276,4.2,4,4.5,3.6,4.6,543,514,352,275,394.2,6,6,4,3,4
Metro TC (Chennai) Limited,Tamil Nadu,31,3262,3414,3446,3585,3660,2.2,2.7,3.4,4.3,5.1,23000,23540,22146,23519,23982,4.5,4.4,4.4,4.3,4.3,194688,217963,213249,187962,192169,18998,20145,19769,17544,18068
Mizoram ST,Mizoram,24,54,53,47,34,34,6.3,7.7,6,4.3,5.2,650,650,650,418,418,3.3,3.5,3.5,3.2,3,156,204,176,N.A.,N.A.,1,2,1,1,0
