Name of State Road Transport Undertaking (SRTU),State,gis_id,Total Revenue (Rs. Lakhs) 2013-14,Total Revenue (Rs. Lakhs) 2012-13,Total Cost (Rs. Lakhs) 2013-14,Total Cost (Rs. Lakhs) 2012-13,Net Profit/Loss (Rs. Lakhs) 2013-14,Net Profit/Loss (Rs. Lakhs) 2012-13,Revenue/Km (Paise) 2013-14,Revenue/Km (Paise) 2012-13,Cost/KM (Paise) 2013-14,Cost/KM (Paise) 2012-13,Profit/Loss per Km (Paise) 2013-14,Profit/Loss per Km (Paise) 2012-13,Revenue/Bus/Day (Rs.) 2013-14,Revenue/Bus/Day (Rs.) 2012-13,Cost/Bus/Day (Rs.) 2013-14,Cost/Bus/Day (Rs.) 2012-13,Profit/Loss per Bus/Day (Rs.) 2013-14,Profit/Loss per Bus/Day (Rs.) 2012-13,Staff Costs (Rs.Lakhs) 2013-14,Staff Costs (Rs.Lakhs) 2012-13,Fuel & Lubricant Costs (Rs.Lakhs) 2013-14,Fuel & Lubricant Costs (Rs.Lakhs) 2012-13,Cost of Tyres & Tubes (Rs.Lakhs) 2013-14,Cost of Tyres & Tubes (Rs.Lakhs) 2012-13,Cost of Spares (Rs.Lakhs) 2013-14,Cost of Spares (Rs.Lakhs) 2012-13,Interest (Rs.Lakhs) 2013-14,Interest (Rs.Lakhs) 2012-13,Depreciation (Rs.Lakhs) 2013-14,Depreciation (Rs.Lakhs) 2012-13,Taxes (Rs.Lakhs) 2013-14,Taxes (Rs.Lakhs) 2012-13,Other Cost (Rs.Lakhs) 2013-14,Other Cost (Rs.Lakhs) 2012-13,Profit before Tax (Rs.Lakhs) 2013-14,Profit before Tax (Rs.Lakhs) 2012-13,Staff Cost as % of Total Cost 2013-14,Staff Cost as % of Total Cost 2012-13,Fuel & Lubricant Cost as % of Total Cost 2013-14,Fuel & Lubricant Cost as % of Total Cost 2012-13,Tyres & Tubes Cost as % of Total Cost 2013-14,Tyres & Tubes Cost as % of Total Cost 2012-13,Spares Cost as % of Total Cost 2013-14,Spares Cost as % of Total Cost 2012-13,Interest Cost as % of Total Cost 2013-14,Interest Cost as % of Total Cost 2012-13,Depreciation Cost as % of Total Cost 2013-14,Depreciation Cost as % of Total Cost 2012-13,Tax Cost as % of Total Cost 2013-14,Tax Cost as % of Total Cost 2012-13,Other Costs as % of Total Cost 2013-14,Other Costs as % of Total Cost 2012-13,Staff Cost per Revenue Earning Km 2013-14,Staff Cost per Revenue Earning Km 2012-13, Fuel & Lubricant Cost per Revenue Earning Km 2013-14, Fuel & Lubricant Cost per Revenue Earning Km 2012-13,Tyres & Tubes Cost per Revenue Earning Km 2013-14,Tyres & Tubes Cost per Revenue Earning Km 2012-13,Spares Cost per Revenue Earning Km 2013-14,Spares Cost per Revenue Earning Km 2012-13,Interest Cost per Revenue Earning Km 2013-14,Interest Cost per Revenue Earning Km 2012-13,Depreciation Cost per Revenue Earning Km 2013-14,Depreciation Cost per Revenue Earning Km 2012-13,Tax Cost per Revenue Earning Km 2013-14,Tax Cost per Revenue Earning Km 2012-13,Other Costs per Revenue Earning Km 2013-14,Other Costs per Revenue Earning Km 2012-13
Gujarat SRTC,Gujrat,12,277819.16,248547.88,297164.54,272131.43,-19345.38,-23583.55,2690.07,2401.66,2877.39,2629.54,-187.32,-227.88,9693.69,8821.78,10368.69,9658.84,-675,-837.06,106480.33,103470.96,113288.71,96740.52,7116.87,6591.88,3172.82,2979.31,9426.61,8365.61,15780.2,15840.96,32422.33,29146.85,9476.67,8995.34,13076.95,5563.3,35.83,38.02,38.12,35.55,2.39,2.42,1.07,1.09,3.17,3.07,5.31,5.82,10.91,10.71,3.19,3.31,10.31,10,10.97,9.35,0.69,0.64,0.31,0.29,0.91,0.81,1.53,1.53,3.14,2.82,0.92,0.87
Haryana ST,Haryana,13,124308.49,113245.18,164987.88,141726.37,-40679.39,-28481.19,2950.48,2679.86,3916.01,3353.85,-965.53,-673.99,8924.82,4522.65,11845.43,10340.65,-2920.61,-2078.05,69657.77,61986.36,55097.58,41722.41,2696.09,3101.53,3177.97,2751.18,2900,2900,3380,3380,22726.93,20821.31,5351.54,5063.58,-17952.46,-7659.88,42.22,43.74,33.39,29.44,1.63,2.19,1.93,1.94,1.76,2.05,2.05,2.38,13.77,14.69,3.24,3.57,16.53,14.67,13.08,9.87,0.64,0.73,0.75,0.65,0.69,0.69,0.8,0.8,5.39,4.93,1.27,1.2
Himachal RTC,Himachal Pradesh,14,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
J&K SRTC,Jammu & Kashmir,15,5784.89,5453.78,10183.98,8234.63,-4399.09,-2780.85,2870.77,2633.53,5053.83,3976.35,-2183.06,-1342.82,2283.72,1622.52,4020.36,3204.63,-1736.64,-1082.21,5507.54,4169.22,2764.7,2251.38,235.77,229.24,225.69,203.86,N.A.,N.A.,491.96,456.29,756.64,729.3,201.68,195.34,-3642.45,-2051.55,54.08,50.63,27.15,27.34,2.32,2.78,2.22,2.48,N.A.,N.A.,4.83,5.54,7.43,8.86,1.98,2.37,27.33,20.13,13.72,10.87,1.17,1.11,1.12,0.98,N.A.,N.A.,2.44,2.2,3.75,3.52,1,0.94
Kadamba TC Ltd.,Goa,11,12464.47,9477.47,14869.25,10801.64,-2404.78,-1324.17,4357.6,3707.35,5198.31,4225.33,-840.71,-517.98,6243,4093.41,7447.47,6963.18,-1204.47,-853.61,8051.53,6349.9,3956.64,2879.63,236.21,220.97,107.5,163.59,573.82,690.51,1028.98,510.19,173.93,157.64,740.64,-170.79,-2230.85,-1166.53,54.15,58.79,26.61,26.66,1.59,2.05,0.72,1.51,3.86,6.39,6.92,4.72,1.17,1.46,4.98,-1.58,28.15,24.84,13.83,11.26,0.83,0.86,0.38,0.64,2.01,2.7,3.6,2,0.61,0.62,2.59,-0.67
Karnataka SRTC,Karnataka,17,296626.35,259233,304182.14,259058.8,-7555.79,174.2,3001.61,2753.22,3078.07,2751.37,-76.46,1.85,9844.64,9069.43,10095.41,9063.34,-250.77,6.09,98128.66,87540.78,125105.84,101254.3,9434.19,9686.82,8829.02,8055.31,3022.22,2256.68,20916.15,19566.89,14542.09,12813.47,24203.97,18456.81,6986.3,12987.67,32.26,33.79,41.13,39.09,3.1,3.74,2.9,3.11,0.99,0.87,6.88,7.55,4.78,4.95,7.96,7.12,9.93,9.3,12.66,10.75,0.95,1.03,0.89,0.86,0.31,0.24,2.12,2.08,1.47,1.36,2.45,1.96
Kerala SRTC,Kerala,18,169058,161701.72,227706,216788.28,-58648,-55086.56,3044.83,2910.97,4101.11,3902.65,-1056.28,-991.68,7944.64,7576.85,10700.72,10158.04,-2756.08,-2581.19,66978,57978.23,72000,70216.03,4845,4807.87,4537,4190.1,22846,25222.28,6700,6610.21,27000,26956.66,22800,20806.9,-31648,-28129.9,29.41,26.74,31.62,32.39,2.13,2.22,1.99,1.93,10.03,11.63,2.94,3.05,11.86,12.43,10.01,9.6,12.06,10.44,12.97,12.64,0.87,0.87,0.82,0.75,4.11,4.54,1.21,1.19,4.86,4.85,4.11,3.75
Maharashtra SRTC,Maharashtra,21,673626,609579,732321,652462,-58695,-42883,3291.44,3058.45,3578.23,3273.6,-286.79,-215.16,10221.83,9544.95,11112.48,10216.42,-890.66,-671.47,280125,263343,256529,205589,18994,16981,13906,13663,134,250,40793,36457,99735,90682,22105,25497,41040,47799,38.25,40.36,35.03,31.51,2.59,2.6,1.9,2.09,0.02,0.04,5.57,5.59,13.62,13.9,3.02,3.91,13.69,13.21,12.53,10.32,0.93,0.85,0.68,0.69,0.01,0.01,1.99,1.83,4.87,4.55,1.08,1.28
Meghalaya STC,Meghalaya,23,835.19,1059.36,1208.19,1401.2,-373,-341.84,3948.89,6535.23,5712.48,8644.05,-1763.59,-2108.82,3520.3,5581.45,5092.48,7382.51,-1572.18,-1801.05,846.39,1060.24,209.2,173.8,14.96,17.85,12.3,18.37,N.A.,N.A.,66.23,49.8,8.93,35.99,50.18,45.15,-364.07,-305.85,70.05,75.67,17.32,12.4,1.24,1.27,1.02,1.31,N.A.,N.A.,5.48,3.55,0.74,2.57,4.15,3.22,40.02,65.41,9.89,10.72,0.71,1.1,0.58,1.13,N.A.,N.A.,3.13,3.07,0.42,2.22,2.37,2.79
Metro TC (Chennai) Limited,Tamil Nadu,31,135486.14,125263.34,149679.69,136888.28,-14193.55,-11624.94,3763.05,3638.48,4157.27,3976.14,-394.22,-337.67,10141.94,5215.2,11204.41,10461.27,-1062.47,-888.4,74217.76,68242.21,47772.73,38446.19,3320.98,3289.67,4385.66,4353.86,7683.12,7705.42,5466.71,7945.35,1070.39,1053.55,5762.34,5852.03,-13123.16,-10571.39,49.58,49.85,31.92,28.09,2.22,2.4,2.93,3.18,5.13,5.63,3.65,5.8,0.72,0.77,3.85,4.28,20.61,19.82,13.27,11.17,0.92,0.96,1.22,1.26,2.13,2.24,1.52,2.31,0.3,0.31,1.6,1.7
