Name of State Road Transport Undertaking (SRTU),State,gis_id,Total Revenue (Rs. Lakh) 2009-10,Total Revenue (Rs. Lakh) 2010-11,Total Revenue (Rs. Lakh) 2011-12,Total Revenue (Rs. Lakh) 2012-13,Total Revenue (Rs. Lakh) 2013-14,Total Cost (Rs. Lakh) 2009-10,Total Cost (Rs. Lakh) 2010-11,Total Cost (Rs. Lakh) 2011-12,Total Cost (Rs. Lakh) 2012-13,Total Cost (Rs. Lakh) 2013-14,Net Profit/Loss (Rs. Lakh) 2009-10,Net Profit/Loss (Rs. Lakh) 2010-11,Net Profit/Loss (Rs. Lakh) 2011-12,Net Profit/Loss (Rs. Lakh) 2012-13,Net Profit/Loss (Rs. Lakh) 2012-13
PUNBUS,Punjab,28,N.A.,N.A.,N.A.,40059,37121,N.A.,,N.A. N.A.,33353,34919,N.A.,N.A.,N.A.,6706,2202
State Transport Punjab,Punjab,28,N.A.,N.A.,N.A.,14076,10967,N.A.,,N.A. N.A.,21326,20764,N.A.,N.A.,N.A.,-7250,-9797
Rajasthan SRTC,Rajasthan,29,116451,123584,139863,144332,162123,124971,142841,152874,177996,194565,-8520,-19257,-13012,-64841,-32442
Sikkim NT,Sikkim,30,N.A.,N.A.,N.A.,2901,3410,N.A.,,N.A. N.A.,3661,3908,N.A.,N.A.,N.A.,-760,-498
South Bengal STC,West Bengal,35,11813,13453,12496,12407,13493,13575,14377,16234,16575,17040,-1762,-924,-3738,-4167,-3547
State Exp.TC TN Ltd.,Tamil Nadu,31,34317,34414,36913,50754,61944,42200,47788,53603,64229,75116,-7883,-13374,-16691,-13475,-13172
Thane MT,Maharashtra,21,N.A.,N.A.,N.A.,7005,8075,N.A.,,N.A. N.A.,9591,10787,N.A.,N.A.,N.A.,-2586,-2713
TN STC (Coimbatore) Ltd.,Tamil Nadu,31,72276,78752,92031,113780,123539,86741,105118,123076,130549,144411,-14465,-26366,-31045,-16769,-20873
TN STC (Kumbakonam) Ltd.,Tamil Nadu,31,92913,97531,112116,145906,157916,101156,119679,138380,154121,172382,-8243,-22148,-26263,-8215,-14467
TN STC (Madurai) Ltd.,Tamil Nadu,31,108084,97071,80641,99485,105100,123459,118260,98422,105416,116236,-15375,-21189,-17781,-5931,-11136
TN STC (Salem) Ltd.,Tamil Nadu,31,54147,56608,65101,82271,86745,61131,71367,84203,91951,103255,-6984,-14759,-19102,-9680,-16510
TN STC (Villupuram) Ltd.,Tamil Nadu,31,93277,99202,114823,142883,153205,99712,116468,135713,147791,166326,-6435,-17266,-20890,-4908,-13122
Tripura RTC,Tripura,32,402,1870,1710,1900,330,N.A.,2990,2814,3175,1890,N.A.,-1120,-1104,-1275,-1560
Uttar Pradesh SRTC,Uttar Pradesh,33,165702,202800,232398,252936,291466,170899,207648,235855,261196,305109,-5197,-4848,-3457,-8260,-13643
Uttarakhand TC,Uttarakhand,34,N.A.,N.A.,N.A.,33715,40429,N.A.,,N.A. N.A.,36249,44457,N.A.,N.A.,N.A.,-2535,-4028
